SA2_5DIG16,shortest_time_sec,shortest_time_min
11219,925.9473196953859,16.0
11220,1263.1485456595265,22.0
11221,1035.133651919223,18.0
11222,455.507999231459,8.0
11223,946.3327653997379,16.0
11224,445.95219491525427,8.0
11225,288.05993919124353,5.0
11226,648.2396978629329,11.0
11227,248.613748990035,5.0
11228,639.5688740261648,11.0
11229,648.7687383872167,11.0
11230,584.5,10.0
11231,212.3795379537954,4.0
11232,932.4823340040242,16.0
11233,391.18140102762374,7.0
11234,155.44402620014924,3.0
11235,453.77010090943065,8.0
11236,229.63455818022746,4.0
11237,1075.0845445362172,18.0
11238,757.1121313791276,13.0
11239,847.5219628452702,15.0
11240,726.8423182297155,13.0
11241,2086.746903669725,35.0
11242,788.8521699702034,14.0
11243,1271.411569315618,22.0
11244,347.71216558946253,6.0
11245,1563.1882209469152,27.0
11246,465.3375360997112,8.0
11247,824.1597572616937,14.0
11248,193.0342247733351,4.0
11249,1121.8080680534326,19.0
11250,837.9134901365707,14.0
11251,371.2984087852981,7.0
11252,1193.9625362318843,20.0
11253,1544.7328064442586,26.0
11254,460.4364676770802,8.0
11256,325.18549921589124,6.0
11257,1583.4291653738753,27.0
11258,377.68059627575275,7.0
11259,738.2741254125413,13.0
11260,1242.999568841621,21.0
11261,213.9115341900682,4.0
11262,1097.5923405163217,19.0
11263,500.091061970339,9.0
11264,788.5409355106559,14.0
11265,489.90713365539455,9.0
11266,843.4999403697077,15.0
11267,579.8033307186388,10.0
11268,499.4514428538968,9.0
11269,369.76784221648273,7.0
11270,250.00507931289553,5.0
11271,1121.3467293512817,19.0
11272,801.7383513359863,14.0
11273,1488.853029045643,25.0
11274,1183.4354381704109,20.0
11275,2409.860416666667,41.0
11276,1724.2661359315593,29.0
11277,429.60347433943093,8.0
11278,299.8641927734961,5.0
11279,1668.19113490364,28.0
11280,2173.582284007353,37.0
11281,1230.2781056358808,21.0
11282,264.1381809848088,5.0
11283,1023.2966542019288,18.0
11284,232.44604737004002,4.0
11285,1407.5016749585407,24.0
11286,595.839524285873,10.0
11287,836.9350588712952,14.0
11288,1401.5412987752777,24.0
11289,1909.0754642313548,32.0
11290,290.005185799023,5.0
11291,286.1790117294734,5.0
11294,512.366976,9.0
11296,456.41325061640026,8.0
11297,1094.3874684448679,19.0
11298,1201.1899923017706,21.0
11299,2865.160014892033,48.0
11300,1010.3628046835848,17.0
11301,641.255450913242,11.0
11302,534.6483250209648,9.0
11303,246.06522486223855,5.0
11304,421.45250458664594,8.0
11306,486.48019370890347,9.0
11307,343.6910661203503,6.0
11308,267.9719675082695,5.0
11309,365.60296181310156,7.0
11310,443.99683478367444,8.0
11312,770.6466466234967,13.0
11313,375.69722342733195,7.0
11314,556.8044086021505,10.0
11315,384.757343976778,7.0
11316,535.9026515334459,9.0
11317,263.13655269651036,5.0
11318,444.4617021276596,8.0
11319,309.06269236232777,6.0
11320,437.50952380952384,8.0
11321,552.8729962894249,10.0
11322,441.0645048957352,8.0
11323,349.7233421052631,6.0
11324,308.2,6.0
11325,572.8918032786885,10.0
11326,190.24761510059528,4.0
11327,136.00004945109288,3.0
11328,317.9006897432622,6.0
11329,97.09034701426808,2.0
11330,258.5300289035115,5.0
11331,187.86673812075742,4.0
11332,135.882846215781,3.0
11333,124.43775000000001,3.0
11334,269.48886683591047,5.0
11335,181.31420623970803,4.0
11336,126.00674047937706,3.0
11337,187.87450286423177,4.0
11338,301.69982459854236,6.0
11339,117.20433622051533,2.0
11340,264.88442240092456,5.0
11341,107.2269264941065,2.0
11342,,
11343,220.9181587224776,4.0
11344,375.1098337950138,7.0
11345,150.92767556874384,3.0
11346,446.338744296096,8.0
11347,120.0717473574318,3.0
11348,212.11099281027776,4.0
11350,189.51757285595335,4.0
11354,360.3706408140814,7.0
11355,451.960956618465,8.0
11356,234.91333510544035,4.0
11357,502.4786788523832,9.0
11358,377.339896373057,7.0
11359,462.19742018078125,8.0
11360,301.3088556110187,6.0
11361,414.782737146995,7.0
11362,219.3970659375329,4.0
11363,182.68456055453834,4.0
11364,314.97275144557466,6.0
11366,356.44995425434587,6.0
11367,330.23848005251256,6.0
