SA2_5DIG,SA2_name,SA2_area,SA2_population,SA2_population_percentage,SA2_population_density
11304,Blacktown (North) - Marayong,7.3828,20741.0,0.08074173238100055,2809.4
11306,Doonside - Woodcroft,9.9106,23603.0,0.09188308709265493,2381.6
11307,Lalor Park - Kings Langley,11.7998,25565.0,0.09952087114026706,2166.6
11560,Blacktown - South,3.3594,12683.0,0.04937309636894218,3775.4
11561,Blacktown - West,4.6753,17238.0,0.06710505678528939,3687.0
11308,Seven Hills - Prospect,7.5851,14923.0,0.058093094466114034,1967.4
11308,Toongabbie - West,3.2406,11623.0,0.045246668697959076,3586.7
11309,Glenwood,5.1186,15870.0,0.061779629375945166,3100.5
11562,Acacia Gardens,0.9466,3681.0,0.014329604015932838,3888.7
11563,Quakers Hill,7.7674,24870.0,0.09681533601636774,3201.8
11310,Kellyville Ridge - The Ponds,5.9124,21202.0,0.08253633913224885,3586.0
11312,Marsden Park - Shanes Park,25.0406,15636.0,0.060868701003294175,624.4
11312,Riverstone,32.1656,13905.0,0.05413016675945289,432.3
11312,Schofields (West) - Colebee,10.5499,10053.0,0.03913488431735203,952.9
11312,Schofields - East,11.6638,25314.0,0.09854376421062859,2170.3
11310,Stanhope Gardens - Parklea,3.9008,13101.0,0.05100031029957514,3358.5
11313,Bidwill - Hebersham - Emerton,6.095,18738.0,0.07294434122535982,3074.3
11314,Glendenning - Dean Park,5.1425,8415.0,0.03275838570879512,1636.4
11315,Hassall Grove - Plumpton,6.2052,21571.0,0.08397280310450618,3476.3
11316,Lethbridge Park - Tregear,11.2672,21867.0,0.08512508856734674,1940.8
11317,Mount Druitt - Whalan,8.6855,23175.0,0.09021694459908816,2668.2
11318,Prospect Reservoir,29.8693,16.0,6.22857006940846e-05,0.5
11319,Rooty Hill - Minchinbury,14.6242,22986.0,0.08948119475963928,1571.8
11320,Banksmeadow,3.9384,507.0,0.001973678140743806,128.7
11321,Botany,3.4307,13035.0,0.05074338178421205,3799.5
11323,Pagewood - Hillsdale - Daceyville,3.1186,14829.0,0.05772716597453628,4755.0
11324,Port Botany Industrial,2.8044,9.0,3.503570664042259e-05,3.2
11325,Sydney Airport,8.9106,23.0,8.953569474774661e-05,2.6
11322,Eastlakes,3.1149,8967.0,0.03490724238274104,2878.7
11322,Mascot,3.0501,21819.0,0.0849382314652645,7153.5
11327,Petersham - Stanmore,3.0033,20067.0,0.07811794723926223,6681.7
11328,Sydenham - Tempe - St Peters,3.8539,8335.0,0.0324469572053247,2162.7
11326,Marrickville - North,2.8199,12366.0,0.04813906092394063,4385.3
11326,Marrickville - South,2.9929,14334.0,0.055800202109313045,4789.3
11329,Darlinghurst,0.8569,10776.0,0.04194941941746598,12575.6
11330,Erskineville - Alexandria,4.3199,19368.0,0.07539684069018941,4483.4
11331,Glebe - Forest Lodge,2.3018,20493.0,0.07977630402024223,8903.0
11333,Potts Point - Woolloomooloo,1.4636,18443.0,0.07179594861881264,12601.1
11336,Surry Hills,1.3164,16053.0,0.06249202207763376,12194.6
11332,Camperdown - Darlington,1.7106,8442.0,0.03286349282871638,4935.1
11335,Chippendale,0.4642,7956.0,0.030971564670133567,17139.2
11332,Newtown (NSW),1.5707,14893.0,0.05797630877731262,9481.8
11334,Pyrmont,0.9299,12837.0,0.049972596238122745,13804.7
11335,Redfern,1.6989,13881.0,0.054036738208411775,8170.6
11338,Rosebery - Beaconsfield,1.6423,12408.0,0.048302560888262604,7555.3
11337,Sydney (North) - Millers Point,3.2122,8199.0,0.031917528749424974,2552.5
11337,Sydney (South) - Haymarket,1.081,20346.0,0.07920405414511533,18821.5
11334,Ultimo,0.5588,7558.0,0.02942220786536821,13525.4
11338,Waterloo,1.1339,16639.0,0.06477323586555461,14674.1
11338,Zetland,0.8047,12846.0,0.050007631944763174,15963.7
11339,Bondi - Tamarama - Bronte,2.4962,19297.0,0.07512044789335941,7730.6
11340,Bondi Beach - North Bondi,2.4604,21041.0,0.08190958926901462,8551.9
11341,Bondi Junction - Waverly,2.5235,17866.0,0.06954977053753222,7079.8
11342,Centennial Park,1.9786,,,
11344,Dover Heights,1.8705,11184.0,0.04353770478516513,5979.1
11345,Paddington - Moore Park,3.725,14927.0,0.058108665891287554,4007.2
11346,Rose Bay - Vaucluse - Watsons Bay,5.1368,12027.0,0.046819382640484714,2341.3
11347,Woollahra,1.2805,7486.0,0.029141922212244833,5846.2
11343,Bellevue Hill,3.1556,14516.0,0.05650870195470825,4600.1
