SA2_CODE_2016,SA2_5DIG16,AREA_SQKM,NR_OF_PEOPLE_2016,NR_OF_PEOPLE_2016_%,POPULATION_DENSITY_2016
116031314,11314,5.1,8602,0.04,1686.6666666666667
116031315,11315,6.2,21243,0.09,3426.290322580645
116031316,11316,11.3,21322,0.09,1886.9026548672566
116031317,11317,8.7,23382,0.1,2687.586206896552
116031318,11318,30.7,40,0.0,1.3029315960912053
116031319,11319,14.6,21661,0.09,1483.6301369863013
117011320,11320,3.4,21,0.0,6.176470588235294
117011321,11321,3.4,11272,0.05,3315.294117647059
117011322,11322,6.2,25736,0.11,4150.967741935484
117011323,11323,3.1,11931,0.05,3848.7096774193546
117011324,11324,2.8,7,0.0,2.5
117011325,11325,8.9,202,0.0,22.696629213483146
117021326,11326,5.8,27924,0.12,4814.48275862069
117021327,11327,3.0,21314,0.09,7104.666666666667
117021328,11328,3.9,8336,0.03,2137.4358974358975
117031329,11329,0.9,12202,0.05,13557.777777777777
117031330,11330,4.3,17340,0.07,4032.558139534884
117031331,11331,2.3,20814,0.09,9049.565217391306
117031332,11332,3.3,26297,0.11,7968.787878787879
117031333,11333,1.5,22990,0.09,15326.666666666666
117031334,11334,1.5,23339,0.1,15559.333333333334
117031335,11335,2.2,24207,0.1,11003.181818181818
117031336,11336,1.3,17844,0.07,13726.153846153846
117031337,11337,4.3,29970,0.12,6969.767441860466
117031338,11338,3.6,35323,0.15,9811.944444444443
118011339,11339,2.5,20097,0.08,8038.8
118011340,11340,2.5,22559,0.09,9023.6
118011341,11341,2.5,17924,0.07,7169.6
118011342,11342,2.0,3,0.0,1.5
118011343,11343,4.7,26781,0.11,5698.085106382979
118011344,11344,1.9,11526,0.05,6066.315789473684
118011345,11345,3.7,16411,0.07,4435.405405405405
118011346,11346,5.1,12685,0.05,2487.2549019607845
118011347,11347,1.3,8166,0.03,6281.538461538461
118021348,11348,3.8,27325,0.11,7190.789473684211
118021350,11350,11.8,25405,0.1,2152.9661016949153
118021564,11564,2.6,15748,0.07,6056.923076923077
118021565,11565,2.0,16471,0.07,8235.5
118021566,11566,1.8,10365,0.04,5758.333333333333
118021567,11567,2.1,11293,0.05,5377.619047619048
118021568,11568,2.0,10833,0.04,5416.5
118021569,11569,1.9,17880,0.07,9410.526315789473
118021570,11570,3.4,13946,0.06,4101.764705882353
119011354,11354,8.9,22770,0.09,2558.4269662921347
119011355,11355,4.1,915,0.0,223.1707317073171
119011356,11356,10.0,11844,0.05,1184.4
119011357,11357,7.0,27280,0.11,3897.1428571428573
119011358,11358,6.5,17012,0.07,2617.230769230769
119011359,11359,14.4,26461,0.11,1837.5694444444443
119011360,11360,5.1,16800,0.07,3294.117647058824
119011361,11361,5.6,21505,0.09,3840.1785714285716
119011571,11571,2.7,17057,0.07,6317.407407407407
119011572,11572,4.4,16765,0.07,3810.2272727272725
119021362,11362,4.5,19984,0.08,4440.888888888889
