SA2_5DIG,shortest_time_sec,closest_hospital_IDs,closest_hospital_distances
11125,1883.1184345281638,142;387;388;408;612,1924.8596269202635;1930.5596269202636;2102.71650329188;2351.8710607168987;2368.2710607168983
11126,335.57501656177544,593;237;750;757;985,335.57501656177544;1486.6339599205037;1707.2692199403778;2659.3554488241143;3741.269219940378
11127,885.6076499999999,237;593;750;542;757,1103.4954750000002;1862.999425;3124.1338999999994;3410.1520499999997;3946.678575
11128,227.0041904761905,750;593;985;237;542,227.0041904761905;1712.671653679654;2234.076329004329;2935.171653679653;3207.629142857143
11129,1106.0031374441896,750;593;985;542;237,2275.9006636901167;2977.3826595873056;3320.8513575479665;3479.561771449258;3543.134753227948
11131,697.602871017209,292;992;990;681;991,704.6385883455443;777.7674433463964;781.4674433463963;789.8674433463964;794.9674433463963
11132,904.0979827089337,292;992;990;681;991,904.0979827089337;1006.8176484149856;1010.5176484149855;1018.8708126801154;1024.0176484149856
11133,226.5,681;292;991;392;992,226.5;460.0;555.1;563.7;563.7
11134,319.40550494534097,292;992;990;991;392,319.40550494534097;511.6221694429984;515.3221694429984;528.8221694429984;589.3221694429984
11135,683.7,113;466;193;990;992,683.7;746.8;998.2;1213.2;1216.9
11136,704.3122495986598,753;292;681;992;990,704.3122495986598;1156.397201088853;1212.7189292943394;1226.5972010888534;1230.2972010888532
11137,513.0927500720669,753;292;681;433;992,513.0927500720669;1065.0683049870281;1072.3632314788124;1108.1529115018739;1135.268304987028
11138,226.37282749675745,433;753;231;681;292,226.37282749675745;1129.9760959792477;1323.5954345006487;1587.9760959792477;1939.4760959792477
11139,567.2625939849625,433;753;681;231;292,567.2625939849625;896.1253417634997;1354.1253417634996;1532.0625939849622;1705.6253417634996
11140,744.1202662911279,433;231;753;755;681,778.7247983612854;1137.3737549609523;1478.7028037383177;1943.2847906798108;1961.161925489694
11141,434.62822038436366,753;681;433;292;991,434.62822038436366;888.8837448682096;975.8075980246326;1315.0665913012433;1409.74687332659
11142,301.3052932904781,753;681;433;292;992,301.3052932904781;886.8434310968262;1060.1115206910406;1273.5066894335073;1358.2934712736037
